texto,opcao_a,opcao_b,opcao_c,opcao_d,resposta
"começando MAT-ALG","▶ Iniciar","","","",1
"Qual é a solução da equação 2x + 6 = 14?","x = 4","x = 5","x = 8","x = 10",1
"Qual é o valor de f(3) para f(x) = x² – 5?","4","9","14","–2",1
"Resolva: 3(x – 2) = 15","x = 7","x = 5","x = 3","x = 9",1
"Qual é a raiz da função f(x) = 4x – 12?","x = 3","x = 4","x = –3","x = 0",1
"Qual é o coeficiente angular da reta y = –5x + 2?","–5","5","2","–2",1
"O que é uma função quadrática?","Função do tipo ax² + bx + c","Função do tipo ax + b","Função exponencial","Função logarítmica",1
"Qual é o vértice da parábola y = x² – 4x + 3?","(2, –1)","(4, 3)","(2, 3)","(1, 0)",1
"Qual é o valor de log₂ 8?","3","2","4","8",1
"Qual é o conjunto solução de |x – 2| = 5?","{–3, 7}","{3, 7}","{–3, –7}","{5, –2}",1
"começando QUI-GER","▶ Iniciar","","","",1
"Qual é o número atômico do carbono?","6","12","14","8",1
"O que é uma ligação iônica?","Transferência de elétrons","Compartilhamento de elétrons","Atração entre moléculas","Ligação metálica",1
"Qual é a fórmula da água?","H₂O","CO₂","NaCl","O₂",1
"O que é um mol?","6,02 x 10²³ partículas","Massa atômica","Volume de 22,4 L","Pressão constante",1
"Qual é o pH de uma solução neutra?","7","1","14","0",1
"Balanceie: H₂ + O₂ → H₂O. Coeficiente de H₂O?","2","1","3","4",1
"Qual é a massa molar do NaCl (Na=23, Cl=35,5)?","58,5 g/mol","23 g/mol","35,5 g/mol","46 g/mol",1
"Qual é o nome da reação: ácido + base → sal + água?","Neutralização","Combustão","Oxidação","Precipitação",1
"O que é um catalisador?","Acelera reação sem se consumir","Aumenta a energia de ativação","É consumido na reação","Diminui o rendimento",1
"Qual elemento está no grupo 18 e período 2?","Neônio","Hélio","Argônio","Oxigênio",1
"começando FIS-MEC","▶ Iniciar","","","",1
"Qual é a unidade de força no SI?","Newton (N)","Joule (J)","Watt (W)","Pascal (Pa)",1
"Se um corpo está em repouso, qual lei se aplica?","1ª Lei de Newton","2ª Lei de Newton","3ª Lei de Newton","Lei de Hooke",1
"Qual é a aceleração de um corpo de 5 kg sob força de 20 N?","4 m/s²","100 m/s²","0,25 m/s²","5 m/s²",1
"O que é inércia?","Resistência à mudança de movimento","Força resultante","Aceleração constante","Atrito",1
"Qual é a fórmula da 2ª Lei de Newton?","F = m · a","F = m / a","F = a / m","F = m + a",1
"Se a velocidade é constante, a aceleração é:","Zero","Positiva","Negativa","Variável",1
"Qual é o peso de um corpo de 10 kg na Terra (g=10 m/s²)?","100 N","10 N","1 N","1000 N",1
"No MRUV, a aceleração é:","Constante","Variável","Zero","Sempre positiva",1
"Qual é a equação de Torricelli?","v² = v₀² + 2aΔs","v = v₀ + at","S = S₀ + vt","F = m·a",1
"Quem formulou as três leis do movimento?","Isaac Newton","Galileu Galilei","Albert Einstein","Aristóteles",1
"começando ING-ACA","▶ Iniciar","","","",1
"What is the past tense of 'go'?","Went","Gone","Going","Goed",1
"Qual é o plural de 'child'?","Children","Childs","Childen","Childrens",1
"Complete: 'She ___ a book now.'","is reading","reads","read","reading",1
"O que significa 'therefore'?","Portanto","Entretanto","Além disso","Porque",1
"Qual é a forma correta: 'There is ___ water'?","some","any","many","few",1
"Em qual frase o 'present perfect' está correto?","I have finished my homework.","I finished my homework yesterday.","I am finishing my homework.","I finish my homework.",1
