texto,opcao_a,opcao_b,opcao_c,opcao_d,resposta
"1) Qual o órgão responsável pela produção da bile?","Pâncreas","Estômago","Fígado","Vesícula biliar",3
"2) Em qual parte do sistema digestório ocorre a maior parte da absorção de nutrientes?","Intestino delgado","Intestino grosso","Estômago","Esôfago",1
"3) Qual componente do sangue é responsável pela defesa do organismo contra microrganismos?","Plasma","Glóbulos vermelhos","Plaquetas","Glóbulos brancos",4
"4) Como são chamados os vasos que levam o sangue do coração para os tecidos do corpo?","Veias","Artérias","Capilares","Ventrículos",2
"5) Qual a principal função das plaquetas no sangue?","Transportar oxigênio","Combater doenças","Promover a coagulação sanguínea","Nutrir as células",3
"6) Qual enzima presente na saliva inicia a decomposição do amido?","Pepsina","Amilase salivar","Bile","Suco gástrico",2
"7) Qual estrutura impede que o alimento entre nas vias respiratórias durante a deglutição?","Faringe","Esôfago","Epiglote","Laringe",3
"8) Onde são produzidos os glóbulos vermelhos?","No coração","Na medula óssea vermelha","No baço","No fígado",2
"9) Qual a função do intestino grosso no processo digestório?","Absorção de água e formação de fezes","Produção de suco pancreático","Digestão de proteínas","Quebra mecânica dos alimentos",1
"10) O que é o plasma sanguíneo?","A parte sólida do sangue","O pigmento que dá cor ao sangue","A parte líquida que transporta nutrientes e resíduos","A célula que transporta oxigênio",3
11) Qual o nome do canal comum aos sistemas digestório e respiratório?","Esôfago","Laringe","Faringe","Traqueia",3
"12) Onde se inicia o processo de digestão?","No estômago","Na boca","No esôfago","No intestino delgado",2
"13) Qual substância produzida pelo estômago auxilia na digestão das proteínas?","Bile","Saliva","Pepsina","Suco entérico",3
"14) Qual componente sanguíneo contém ferro e atua no transporte de gases?","Leucócitos","Hemoglobina","Plaquetas","Plasma",2
"15) Como são chamados os movimentos musculares que empurram o alimento pelo tubo digestório?","Movimentos involuntários","Movimentos respiratórios","Movimentos peristálticos","Movimentos de absorção",3
"16) Qual a função da vesícula biliar?","Produzir a bile","Armazenar a bile","Produzir insulina","Digerir o amido",2
"17) Quais vasos realizam a comunicação entre as artérias e as veias?","Capilares sanguíneos","Ventrículos","Átrios","Aorta",1
"18) Qual a duração aproximada da vida de um glóbulo vermelho no sangue?","10 dias","30 dias","120 dias","365 dias",3
"19) O que acontece no estômago durante a digestão?","A formação das fezes","A mistura do alimento com o suco gástrico","A absorção total de nutrientes","A produção de saliva",2
"20) Como também são chamados os glóbulos brancos?","Hemácias","Plaquetas","Leucócitos","Linfonodos",3
